# [metal, gas, circuits, currency, specialStat] (1-20 armor) (21-40 fuel) (41-60 torpedoes)
[0, 0, 0, 0, 10] #1
[5, 0, 0, 0, 12] #2
[8, 0, 0, 0, 14] #3
[10, 0, 0, 0, 16] #4
[12, 0, 0, 0, 18] #5
[14, 0, 0, 0, 20] #6
[16, 0, 0, 10, 22] #7
[18, 0, 0, 10, 24] #8
[20, 0, 0, 10, 26] #9
[22, 0, 0, 25, 28] #10
[24, 0, 1, 25, 30] #11
[26, 0, 2, 30, 32] #12
[28, 0, 3, 35, 34] #13
[30, 0, 4, 35, 36] #14
[32, 0, 5, 40, 38] #15
[34, 0, 6, 50, 40] #16
[36, 0, 7, 60, 42] #17
[38, 0, 8, 65, 44] #18
[40, 0, 9, 70, 46] #19
[42, 0, 10, 85, 48] #20
[0, 0, 0, 0, 1500] #21
[3, 3, 0, 0, 1600] #22
[4, 4, 0, 0, 1700] #23
[5, 5, 0, 0, 1800] #24
[6, 6, 0, 0, 1900] #25
[7, 7, 0, 0, 2000] #26
[8, 8, 0, 10, 2100] #27 
[9, 9, 0, 10, 2200] #28
[10, 10, 0, 30, 2300] #29
[11, 11, 0, 30, 2400] #30
[11, 11, 1, 30, 2500] #31
[12, 12, 2, 30, 2600] #32
[13, 13, 3, 60, 2700] #33
[14, 14, 4, 60, 2800] #34
[15, 15, 5, 60, 2900] #35
[16, 16, 6, 60, 3000] #36
[17, 17, 7, 90, 3100] #37
[18, 18, 8, 90, 3200] #38
[19, 19, 9, 90, 3300] #39
[20, 20, 10, 90, 3400] #40
[0, 0, 0, 0, 3] #41
[2, 0, 1, 0, 6] #42
[4, 0, 2, 0, 9] #43 
[6, 0, 3, 0, 12] #44
[8, 0, 4, 0, 15] #45
[10, 0, 5, 0, 18] #46
[12, 0, 6, 0, 21] #47
[14, 0, 7, 10, 24] #48
[16, 0, 8, 20, 27] #49
[18, 0, 9, 40, 30] #50
[20, 0, 10, 60, 33] #51
[22, 0, 11, 70, 36] #52
[24, 0, 12, 80, 39] #53
[26, 0, 13, 90, 42] #54
[28, 0, 14, 100, 45] #55
[30, 0, 15, 110, 48] #56
[32, 0, 16, 120, 51] #57
[34, 0, 17, 120, 54] #58
[36, 0, 18, 120, 57] #59
[38, 0, 19, 130, 60] #60
[0, 0, 0, 0, 0] #this line prevent the game from crashing
