# [metal, gas, circuits, currency, specialStat] (1-20 armor) (21-40 fuel) (41-60 torpedoes)
[0, 0, 0, 0, 10] #1
[2, 0, 0, 0, 11] #2
[4, 0, 0, 0, 12] #3
[6, 0, 0, 0, 13] #4
[8, 0, 0, 0, 14] #5
[10, 0, 0, 0, 15] #6
[12, 0, 0, 0, 16] #7
[14, 0, 0, 0, 17] #8
[16, 0, 0, 0, 18] #9
[18, 0, 0, 0, 19] #10
[20, 0, 1, 0, 20] #11
[22, 0, 2, 0, 21] #12
[24, 0, 3, 0, 22] #13
[26, 0, 4, 0, 23] #14
[28, 0, 5, 0, 24] #15
[30, 0, 6, 0, 25] #16
[32, 0, 7, 0, 26] #17
[34, 0, 8, 0, 27] #18
[36, 0, 9, 0, 28] #19
[38, 0, 10, 0, 29] #20
[0, 0, 0, 0, 1000] #21
[1, 1, 0, 0, 1050] #22
[2, 2, 0, 0, 1100] #23
[3, 3, 0, 0, 1150] #24
[4, 4, 0, 0, 1200] #25
[5, 5, 0, 0, 1250] #26
[6, 6, 0, 0, 1300] #27 
[7, 7, 0, 0, 1350] #28
[8, 8, 0, 0, 1400] #29
[9, 9, 0, 0, 1450] #30
[10, 10, 1, 0, 1500] #31
[11, 11, 2, 0, 1550] #32
[12, 12, 3, 0, 1600] #33
[13, 13, 4, 0, 1650] #34
[14, 14, 5, 0, 1700] #35
[15, 15, 6, 0, 1750] #36
[16, 16, 7, 0, 1800] #37
[17, 17, 8, 0, 1850] #38
[18, 18, 9, 0, 1900] #39
[19, 19, 10, 0, 1950] #40
[0, 0, 0, 0, 3] #41
[2, 0, 1, 0, 6] #42
[4, 0, 2, 0, 9] #43 
[6, 0, 3, 0, 12] #44
[8, 0, 4, 0, 15] #45
[10, 0, 5, 0, 18] #46
[12, 0, 6, 0, 21] #47
[14, 0, 7, 0, 24] #48
[16, 0, 8, 0, 27] #49
[18, 0, 9, 0, 30] #50
[20, 0, 10, 0, 33] #51
[22, 0, 11, 0, 36] #52
[24, 0, 12, 0, 39] #53
[26, 0, 13, 0, 42] #54
[28, 0, 14, 0, 45] #55
[30, 0, 15, 0, 48] #56
[32, 0, 16, 0, 51] #57
[34, 0, 17, 0, 54] #58
[36, 0, 18, 0, 57] #59
[38, 0, 19, 0, 60] #60
